gender,age,study_hours_per_day,attendance_percentage,parental_education,internet_access,previous_grade,assignments_completed,sleep_hours,extracurricular_participation,final_exam_score,result
Male,17,4.86,68.65,Bachelor,Yes,88.08,7,6.96,No,86.15,Pass
Female,18,1.53,62.78,Master,No,74.01,2,8.82,No,52.87,Pass
Male,19,0.87,82.82,Bachelor,Yes,62.33,9,4.28,No,52.85,Pass
Male,17,5.99,90.26,Master,Yes,69.39,5,4.2,No,72.2,Pass
Male,15,0.64,64.42,Master,Yes,92.47,8,6.58,Yes,64.78,Pass
Female,18,5.09,93.53,Bachelor,Yes,46.23,9,5.46,Yes,64.91,Pass
Male,19,2.51,82.22,High School,Yes,51.42,7,6.91,Yes,56.04,Pass
Male,15,5.13,87.6,Diploma,Yes,92.94,9,7.62,No,100.0,Pass
Male,15,3.55,98.86,Master,No,92.65,4,4.35,Yes,67.65,Pass
Female,15,5.46,63.35,Master,Yes,49.74,8,8.41,Yes,65.62,Pass
Male,15,5.59,96.05,Diploma,No,47.98,8,5.38,No,69.66,Pass
Male,17,0.55,65.04,Diploma,Yes,63.16,2,5.91,Yes,34.03,Fail
Male,17,0.91,75.72,Bachelor,Yes,42.73,7,5.69,Yes,38.98,Fail
Male,17,1.88,94.06,Master,Yes,76.02,3,8.2,No,63.81,Pass
Female,19,4.18,96.25,Bachelor,Yes,44.26,9,4.85,No,66.54,Pass
Male,19,5.39,80.25,Diploma,Yes,43.19,6,4.14,Yes,68.8,Pass
Female,19,3.03,83.76,Bachelor,No,66.69,9,8.86,No,74.2,Pass
Female,16,3.84,88.33,Master,Yes,92.68,7,8.9,No,70.08,Pass
Female,19,1.54,93.31,High School,Yes,63.47,6,5.29,Yes,50.57,Pass
Male,17,4.93,64.86,High School,Yes,59.61,4,4.05,No,58.45,Pass
Female,17,5.82,92.4,Master,Yes,94.89,10,7.23,Yes,83.13,Pass
Male,16,1.98,79.25,Bachelor,Yes,69.26,0,7.24,No,47.66,Pass
Female,16,3.22,78.02,Diploma,Yes,60.64,7,8.7,No,63.68,Pass
Female,19,0.97,76.96,Diploma,Yes,61.22,4,5.49,Yes,51.65,Pass
Female,18,3.58,80.37,High School,Yes,50.72,2,4.95,No,52.6,Pass
Female,16,3.27,97.8,Bachelor,Yes,68.17,1,7.08,No,42.36,Pass
Female,15,1.29,81.93,Diploma,Yes,64.14,2,6.82,Yes,40.79,Pass
